name,ra,dec,spect_type,vmag
HIP 55497,170.4879498,-77.60834843,A5III/IV, 6.43
HIP 81852,250.7725818,-77.51657182,K0III, 4.23
HIP 110078,334.4612324,-77.51158803,F3III, 5.49
HIP 40888,125.162033,-77.4845764,K0III-IV, 4.34
HIP 1706,5.3697616,-77.42685699,K3III, 5.96
HIP 107089,325.368638,-77.38946215,K0III, 3.73
HIP 15201,48.98899185,-77.38860498,F4III, 5.51
HIP 116250,353.3314399,-77.38533173,G2V, 5.82
HIP 2021,6.41334183,-77.25503511,G2IV, 2.82
HIP 72670,222.8753033,-77.17594571,Ap..., 6.44
HIP 73415,225.0472417,-77.16052523,G8II, 5.92
HIP 122,0.39937928,-77.06529438,K2III, 4.78
HIP 104043,316.1792859,-77.02286938,F4III, 5.13
HIP 71870,220.4990062,-77.0114221,B9III, 6.34
HIP 40702,124.6302785,-76.91998251,F5III, 4.05
HIP 116653,354.598705,-76.86950742,K0II/III, 5.99
HIP 68815,211.3337554,-76.79667632,M6.5III, 5.69
HIP 47956,146.5850779,-76.77598144,G8III, 5.43
HIP 70874,217.4044756,-76.72901396,K0/K1III, 6.06
HIP 45166,138.0511082,-76.66292167,K1III, 6.13
HIP 73223,224.4714892,-76.66261622,K4III, 5.37
HIP 58905,181.1944321,-76.51917475,K4III, 5.04
HIP 25918,82.96942437,-76.3416634,K4III, 5.18
HIP 51835,158.853347,-76.30900474,K2III, 6.29
HIP 102162,310.5105047,-76.18056892,F4III-IV, 5.99
HIP 87926,269.4236758,-76.17794609,K2III, 6.08
HIP 108849,330.7655924,-76.11826634,F3III, 5.94
HIP 109584,332.9797031,-76.11592445,K0III, 6.13
HIP 76877,235.4779312,-76.08186451,B9V, 5.95
HIP 1268,3.97890167,-75.91160944,G8/K0III, 6.49
HIP 56675,174.3164265,-75.89654092,F1III, 5.64
HIP 89115,272.8156744,-75.89079431,K3III, 5.86
HIP 66607,204.8001644,-75.68377048,B8IV, 6.32
HIP 61738,189.8109856,-75.37056959,B8Vn, 6.46
HIP 59151,181.9587008,-75.36706513,K2II/III, 5.17
HIP 57092,175.5617502,-75.22730303,G1V, 6.48
HIP 55308,169.9024203,-75.14244982,B9.5/A0V, 6.26
HIP 53546,164.3158575,-75.09977108,K1II, 6.16
HIP 13244,42.6189035,-75.06688108,K3III, 4.76
HIP 90133,275.9018262,-75.04432557,A0V, 5.47
HIP 73394,224.9823844,-75.03261964,B9V, 6.20
HIP 110712,336.4626071,-75.01571925,G3IV, 6.12
HIP 22871,73.79641541,-74.93700232,K6III, 5.47
HIP 3781,12.14632729,-74.92335356,K5III, 5.09
HIP 45581,139.3550472,-74.89439024,A1V, 5.28
HIP 65468,201.2806683,-74.88749735,K0III, 5.04
HIP 69090,212.115446,-74.85072342,G1V, 6.02
HIP 29271,92.55918047,-74.7525279,G5V, 5.08
HIP 45585,139.365142,-74.73467629,A0V, 5.86
HIP 84510,259.1487462,-74.53288068,A0V, 6.24
HIP 52150,159.8164075,-74.49338395,K3II, 6.08
HIP 36914,113.8402543,-74.27500789,B9, 6.33
HIP 17678,56.80929799,-74.23924251,M2III, 3.26
HIP 58810,180.9355709,-74.21408634,G6III, 6.44
HIP 50954,156.0989187,-74.03154474,F2IV, 3.99
HIP 50976,156.1856863,-73.97175863,A2/A3V, 6.18
HIP 90930,278.2305395,-73.96538378,K0III, 5.88
HIP 26169,83.68659342,-73.74136684,M2/M3III, 5.79
HIP 89234,273.1423576,-73.67177867,F5V, 5.86
HIP 11095,35.71864225,-73.64582097,K0III, 5.99
HIP 24507,78.85368002,-73.58848926,A6V, 6.49
HIP 114268,347.1481192,-73.58611126,K3III, 6.18
HIP 76750,235.0889955,-73.44663458,B8IV, 5.64
HIP 41003,125.5188414,-73.40005893,A0/A1IV/V, 5.28
HIP 76013,232.8784193,-73.38954647,B1npe, 5.40
HIP 41907,128.1744821,-73.35696538,G8III, 6.11
HIP 39041,119.8157391,-73.24412159,A3III, 6.33
HIP 51495,157.758644,-73.2215089,K4/K5III, 4.94
HIP 72833,223.3064034,-73.19015457,G5III, 5.59
HIP 104440,317.3396542,-73.17226994,G3IV, 5.67
HIP 32222,100.9030534,-73.11796953,G8III, 6.36
HIP 46741,142.9013467,-73.08091865,K4III, 5.46
HIP 23737,76.53858384,-73.03782413,A0V, 6.26
HIP 61181,188.0412297,-73.00104307,K1III, 5.88
HIP 92394,282.4319846,-72.99571254,B9.5IV/V, 6.04
HIP 55332,169.9618127,-72.95827692,A0V, 6.46
HIP 98495,300.1474723,-72.91018443,A0V, 3.97
HIP 74421,228.1416968,-72.77056092,B8/B9III, 6.02
HIP 59851,184.0994788,-72.61445993,A0V, 6.21
HIP 37504,115.4549835,-72.60613528,K0III, 3.93
HIP 44599,136.286793,-72.60269387,F6II-III, 4.47
HIP 43351,132.4589077,-72.5512595,A3m..., 6.10
HIP 104597,317.8369455,-72.54427874,K1III, 6.18
HIP 97534,297.3553869,-72.50341408,A4III, 5.39
HIP 55979,172.0769287,-72.47396862,B3V, 6.09
HIP 52535,161.1135618,-72.44362716,F6V, 6.26
HIP 22717,73.2738923,-72.40833805,F8V, 6.28
HIP 78868,241.4828412,-72.40107181,K1IIICNII, 5.70
HIP 55657,171.0465711,-72.25660192,B2IV-V, 5.55
HIP 110618,336.1432949,-72.25377388,A3V: + F9V, 5.28
HIP 63165,194.1321673,-72.18518249,G8III, 5.93
HIP 65289,200.7192535,-72.14667406,B6V, 6.06
HIP 61199,188.117129,-72.1329759,B5V, 3.84
HIP 64994,199.8291397,-72.03547781,K3III, 6.04
HIP 55350,170.0173476,-71.99433341,B4V, 6.41
HIP 51438,157.5836462,-71.99271995,A2III, 4.72
HIP 62608,192.4372899,-71.98624542,G8Ib/II, 5.55
HIP 14131,45.56415553,-71.90249547,B8III/IV, 5.51
HIP 105768,321.3250531,-71.79907257,K2III, 6.09
HIP 46407,141.9549497,-71.7812037,F3/F5V, 6.33
HIP 17543,56.34873335,-71.65823679,B8V, 6.26
HIP 75959,232.7049734,-71.65408347,B3V, 6.39
HIP 46358,141.7770753,-71.60209195,K2III, 5.46
HIP 63613,195.5657397,-71.54879865,K2III, 3.61
HIP 40817,124.9541482,-71.51499632,B9III/IV, 5.33
HIP 40834,125.0023296,-71.50546247,A0p, 5.63
HIP 58706,180.6191049,-71.48900826,K1III, 6.41
HIP 63688,195.7723352,-71.47572327,B1.5IIIne, 5.93
HIP 35946,111.1546398,-71.47075644,A3V, 6.49
HIP 377,1.17188841,-71.43685835,B8III, 5.59
HIP 54673,167.8732146,-71.43619887,K2/K3III, 6.34
HIP 91792,280.758891,-71.42772867,K2III, 4.01
HIP 48715,149.040668,-71.38930933,B1Ib, 6.30
HIP 23467,75.67918703,-71.31432608,G8III, 5.30
HIP 2629,8.34677242,-71.26621472,A7IV, 6.11
HIP 101570,308.7764196,-71.18880857,K2III, 6.41
HIP 82944,254.2544364,-71.11155701,A5IV/V, 6.46
HIP 107423,326.3700217,-71.00882172,B8IV, 6.02
HIP 81141,248.5807059,-70.98806509,K1IIICN..., 5.50
HIP 32912,102.8624129,-70.96347336,B7IV, 5.41
HIP 21949,70.76644496,-70.93111187,B9IV, 5.53
